index;element;x;y;z;Hirshfeld_Charge;cm5charge;1.2*CM5charge 
0;O;-0.046153;-0.751257;0.000000;-0.247419;-0.471325;-0.565590
1;C;-0.046153;0.658469;0.000000;0.006086;-0.120066;-0.144080
2;H;0.857779;-1.062372;0.000000;0.158455;0.333007;0.399608
3;H;-1.086394;0.976180;0.000000;0.038685;0.098979;0.118775
4;H;0.437376;1.072716;0.889654;0.023759;0.081365;0.097638
5;H;0.437376;1.072716;-0.889654;0.023759;0.081365;0.097638
